sheetIndex,date,eventTitle,eventText,source,color,imageName,phi,x,y,z
0,-4600000000.0,The planet Earth forms from the accretion disc revolving around the young Sun with organic compounds (complex organic molecules) necessary for life having perhaps formed in the protoplanetary disk of cosmic dust grains surrounding it before the formation of the Earth.[13],The planet Earth forms from the accretion disc revolving around the young Sun with organic compounds (complex organic molecules) necessary for life having perhaps formed in the protoplanetary disk of cosmic dust grains surrounding it before the formation of the Earth.[13],https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,blue,..,0.5712563267942132,6.982145560848237,4.487721400346424,0.0
1,-4500000000.0,According to the giant impact hypothesis; the Moon was formed when the planet Earth and the hypothesized planet Theia collided; sending a very large number of moonlets into orbit around the young Earth which eventually coalesced to form the Moon.[14] The gravitational pull of the new Moon stabilised the Earth's fluctuating axis of rotation and set up the conditions in which abiogenesis occurred.[15],According to the giant impact hypothesis; the Moon was formed when the planet Earth and the hypothesized planet Theia collided; sending a very large number of moonlets into orbit around the young Earth which eventually coalesced to form the Moon.[14] The gravitational pull of the new Moon stabilised the Earth's fluctuating axis of rotation and set up the conditions in which abiogenesis occurred.[15],https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,blue,..,3.4272496482394796,-7.963656830899137,-2.3388394300749935,0.0
2,-4404000000.0,First appearance of liquid water on Earth.,First appearance of liquid water on Earth.,https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,blue,..,6.169003236826936,8.245952945835445,-0.9456532213595937,0.0
3,-4280000000.0,Earliest possible appearance of life on Earth.[16][17][18][19],Earliest possible appearance of life on Earth.[16][17][18][19],https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,blue,..,3.4272496482394796,-7.963656830899137,-2.3388394300749935,0.0
4,-4000000000.0,Formation of a greenstone belt of the Acasta Gneiss of the Slave craton in Northwest Territories; Canada; the oldest rock belt in the world.[20],Formation of a greenstone belt of the Acasta Gneiss of the Slave craton in Northwest Territories; Canada; the oldest rock belt in the world.[20],https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,blue,..,5.140845641106639,3.448379950958161,-7.549746731767218,0.0
5,-3950000000.0,"""Late Heavy Bombardment (LHB): extended barrage of impact events upon the inner planets by meteoroids. Thermal flux from widespread hydrothermal activity during the LHB may have been conducive to abiogenesis and life's early diversification.[21] """"Remains of biotic life"""" were found in 4.1 billion-year-old rocks in Western Australia.[22][23] This is when life most likely arose.""","""Late Heavy Bombardment (LHB): extended barrage of impact events upon the inner planets by meteoroids. Thermal flux from widespread hydrothermal activity during the LHB may have been conducive to abiogenesis and life's early diversification.[21] """"Remains of biotic life"""" were found in 4.1 billion-year-old rocks in Western Australia.[22][23] This is when life most likely arose.""",https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,blue,..,0.28565699464968664,7.963656830899137,2.3388394300749953,0.0
6,-3800000000.0,Formation of a greenstone belt of the Isua complex of the western Greenland region; whose rocks show an isotope frequency suggestive of the presence of life.[20] The earliest evidences for life on Earth are 3.8 billion-year-old biogenic hematite in a banded iron formation of the Nuvvuagittuq Greenstone Belt in Canada;[27] graphite in 3.7 billion-year-old metasedimentary rocks discovered in western Greenland[28] and microbial mat fossils found in 3.48 billion-year-old sandstone discovered in Western Australia.[29][30],Formation of a greenstone belt of the Isua complex of the western Greenland region; whose rocks show an isotope frequency suggestive of the presence of life.[20] The earliest evidences for life on Earth are 3.8 billion-year-old biogenic hematite in a banded iron formation of the Nuvvuagittuq Greenstone Belt in Canada;[27] graphite in 3.7 billion-year-old metasedimentary rocks discovered in western Greenland[28] and microbial mat fossils found in 3.48 billion-year-old sandstone discovered in Western Australia.[29][30],https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,blue,..,4.569646976817586,-1.1807394283575918,-8.21558606566335,0.0
8,-3500000000.0,Lifetime of the last universal common ancestor (LUCA);[31][32] the split between bacteria and archaea occurs.[33] Bacteria develop primitive forms of photosynthesis which at first did not produce oxygen.[34] These organisms generated Adenosine triphosphate (ATP) by exploiting a proton gradient; a mechanism still used in virtually all organisms.[35],Lifetime of the last universal common ancestor (LUCA);[31][32] the split between bacteria and archaea occurs.[33] Bacteria develop primitive forms of photosynthesis which at first did not produce oxygen.[34] These organisms generated Adenosine triphosphate (ATP) by exploiting a proton gradient; a mechanism still used in virtually all organisms.[35],https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,blue,..,0.5712563267942132,6.982145560848237,4.487721400346424,0.0
10,-3200000000.0,Diversification and expansion of acritarchs.[36],Diversification and expansion of acritarchs.[36],https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,blue,..,2.8560509839504267,-7.963926504622197,2.3379210057177056,0.0
11,-3200000000.0,Cells resembling prokaryotes appear.[24] These first organisms are chemoautotrophs: they use carbon dioxide as a carbon source and oxidize inorganic materials to extract energy. Later; prokaryotes evolve glycolysis; a set of chemical reactions that free the energy of organic molecules such as glucose and store it in the chemical bonds of ATP. Glycolysis (and ATP) continue to be used in almost all organisms; unchanged; to this day.[25][26],Cells resembling prokaryotes appear.[24] These first organisms are chemoautotrophs: they use carbon dioxide as a carbon source and oxidize inorganic materials to extract energy. Later; prokaryotes evolve glycolysis; a set of chemical reactions that free the energy of organic molecules such as glucose and store it in the chemical bonds of ATP. Glycolysis (and ATP) continue to be used in almost all organisms; unchanged; to this day.[25][26],https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,blue,..,2.8560509839504267,-7.963926504622197,2.3379210057177056,0.0
