date,event,source,start_date,end_date
-3650000000.0,Siderian,https://en.wikipedia.org/wiki/Timeline_of_natural_history,-2500000000,-2300000000
-3325000000.0,Rhyacian,https://en.wikipedia.org/wiki/Timeline_of_natural_history,-2300000000,-2050000000
-2950000000.0,Orosirian,https://en.wikipedia.org/wiki/Timeline_of_natural_history,-2050000000,-1800000000
-2600000000.0,Statherian,https://en.wikipedia.org/wiki/Timeline_of_natural_history,-1800000000,-1600000000
-2300000000.0,Calymmian,https://en.wikipedia.org/wiki/Timeline_of_natural_history,-1600000000,-1400000000
-2000000000.0,Ectasian,https://en.wikipedia.org/wiki/Timeline_of_natural_history,-1400000000,-1200000000
-1700000000.0,Stenian,https://en.wikipedia.org/wiki/Timeline_of_natural_history,-1200000000,-1000000000
-1360000000.0,Tonian,https://en.wikipedia.org/wiki/Timeline_of_natural_history,-1000000000,-720000000
-1037500000.0,Cryogenian,https://en.wikipedia.org/wiki/Timeline_of_natural_history,-720000000,-635000000
-905500000.0,Ediacaran,https://en.wikipedia.org/wiki/Timeline_of_natural_history,-635000000,-541000000
-783700000.0,Cambrian,https://en.wikipedia.org/wiki/Timeline_of_natural_history,-541000000,-485400000
-707300000.0,Ordovician,https://en.wikipedia.org/wiki/Timeline_of_natural_history,-485400000,-443800000
-653400000.0,Silurian,https://en.wikipedia.org/wiki/Timeline_of_natural_history,-443800000,-419200000
-598650000.0,Devonian,https://en.wikipedia.org/wiki/Timeline_of_natural_history,-419200000,-358900000
-508350000.0,Carboniferous,https://en.wikipedia.org/wiki/Timeline_of_natural_history,-358900000,-298900000
-424851000.0,Permian,https://en.wikipedia.org/wiki/Timeline_of_natural_history,-298900000,-251902000
-352552000.0,Triassic,https://en.wikipedia.org/wiki/Timeline_of_natural_history,-251902000,-201300000
-273800000.0,Jurassic,https://en.wikipedia.org/wiki/Timeline_of_natural_history,-201300000,-145000000
-178000000.0,Cretaceous,https://en.wikipedia.org/wiki/Timeline_of_natural_history,-145000000,-66000000
-77515000.0,Paleogene,https://en.wikipedia.org/wiki/Timeline_of_natural_history,-66000000,-23030000
-24320000.0,Neogene,https://en.wikipedia.org/wiki/Timeline_of_natural_history,-23030000,-2580000
-2580000.0,Quaternary,https://en.wikipedia.org/wiki/Timeline_of_natural_history,-2580000,0
